"Cause","Cause group","Scenario","Age group (years)","Total expected avoidable deaths","Joint lower 95% simulation limit","Joint upper 95% simulation limit","Contributing cells","Interval method"
"Colon and rectum Cancer","Cancer","Volume -30%","60-65",19.5031947143012,15.0312615216019,24.5988486671972,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"DM2","Other causes","Volume -30%","15-29",-0.0717472416721348,-0.147327649724353,0.0288279103537082,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"DM2","Other causes","Volume -30%","30-44",-0.207855762685047,-0.568036087683392,0.263876193803558,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"DM2","Other causes","Volume -30%","45-59",-1.11776086551145,-3.04446869321255,1.35495823594514,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"DM2","Other causes","Volume -30%","60-65",-1.55791051277983,-3.05291867670283,0.286437880995445,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Epilepsy","Neuropsychiatric","Volume -30%","15-29",7.5340733347127,6.12072585189468,9.19260660051432,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Epilepsy","Neuropsychiatric","Volume -30%","30-44",13.7377775785945,11.2012932541881,16.5658638522118,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Epilepsy","Neuropsychiatric","Volume -30%","45-59",19.9678313845281,16.0910971690964,24.2513413492477,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Epilepsy","Neuropsychiatric","Volume -30%","60-65",5.83544881377852,4.37254973052679,7.52939613258582,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"HIV","Other causes","Volume -30%","15-29",2.1848962596612,1.50998520533925,2.89962112745582,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"HIV","Other causes","Volume -30%","30-44",11.555627878915,7.94338825221452,15.2807315779635,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"HIV","Other causes","Volume -30%","45-59",10.277772764514,7.55476732922621,13.0612597247594,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"HIV","Other causes","Volume -30%","60-65",1.09202135606618,0.626406849253541,1.57162862203552,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Hypertensive Heart Disease","Cardiovascular","Volume -30%","15-29",0.415434929793974,0.365265327080742,0.472130020269954,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Hypertensive Heart Disease","Cardiovascular","Volume -30%","30-44",4.18349972944135,3.71635169589833,4.69433787688038,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Hypertensive Heart Disease","Cardiovascular","Volume -30%","45-59",23.5435080820047,20.8098779579576,26.4283491085354,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Hypertensive Heart Disease","Cardiovascular","Volume -30%","60-65",19.4970517677207,16.7151230618316,22.5791953773743,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Volume -30%","15-29",31.5197008006448,25.0702916260887,38.7461204809087,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Volume -30%","30-44",38.694780997974,30.7521224932788,47.2591057425609,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Volume -30%","45-59",24.8876693037944,19.5565904386423,30.8235508324648,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Volume -30%","60-65",4.76843646062676,3.69902763284505,6.05501736705511,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intracerebral Haemorrhage","Cardiovascular","Volume -30%","15-29",3.5622113879124,2.81952080541401,4.62111129450078,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intracerebral Haemorrhage","Cardiovascular","Volume -30%","30-44",18.802801807263,15.0548142763482,23.6962287109082,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intracerebral Haemorrhage","Cardiovascular","Volume -30%","45-59",57.8717238358045,45.8317278010445,73.6766763093181,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intracerebral Haemorrhage","Cardiovascular","Volume -30%","60-65",25.2921957375548,18.9711377400699,33.5503795416399,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Volume -30%","15-29",-0.14491064527088,-0.272001865515562,0.371981734512535,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Volume -30%","30-44",-1.21085331572171,-2.25807311368534,2.09128955367304,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Volume -30%","45-59",-2.52067729677071,-9.84413055473064,13.4710388880164,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Volume -30%","60-65",-8.43581466717295,-13.8463834806674,2.05777852909069,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Volume -30%","15-29",0.196909476201256,0.11076896122159,0.860179677977035,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Volume -30%","30-44",1.06330093466709,0.603669682837578,2.2546377808455,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Volume -30%","45-59",7.43735410009117,4.62737714201342,12.924932219664,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Volume -30%","60-65",5.3787607955493,2.84749681519426,9.63343313612623,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Larynx Cancer","Cancer","Volume -30%","30-44",0.569903079947113,0.467247480948262,0.677742751473758,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Larynx Cancer","Cancer","Volume -30%","45-59",6.07789980139049,4.91905949657033,7.29141217449935,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Larynx Cancer","Cancer","Volume -30%","60-65",4.87526524810212,3.67643026592561,6.21049514659062,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cancer","Cancer","Volume -30%","15-29",0.143798291260371,0.111187163149567,0.182948523540796,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cancer","Cancer","Volume -30%","30-44",0.898960216332694,0.697626059625672,1.14187099985499,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cancer","Cancer","Volume -30%","45-59",7.02534443864125,5.39012402673918,9.00065938550773,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cancer","Cancer","Volume -30%","60-65",5.28697209014045,3.90535935049565,7.06428813302538,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cirrhosis","Other causes","Volume -30%","15-29",6.869099968407,5.09925813842892,8.84901291795288,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cirrhosis","Other causes","Volume -30%","30-44",203.571046597418,151.842871258791,259.298834758838,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cirrhosis","Other causes","Volume -30%","45-59",907.619510731248,665.219937219625,1154.06036959588,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cirrhosis","Other causes","Volume -30%","60-65",251.478440082405,161.916514146985,363.270170817306,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Lower Respiratory Infection","Other causes","Volume -30%","15-29",1.4740245717528,1.049434109502,2.01815769125038,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Lower Respiratory Infection","Other causes","Volume -30%","30-44",6.6504673035866,4.62505579178448,9.22772121964314,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Lower Respiratory Infection","Other causes","Volume -30%","45-59",19.0066847272636,12.9978066589169,26.8264457032822,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Lower Respiratory Infection","Other causes","Volume -30%","60-65",9.49773241885694,6.37517442880459,13.6778723898459,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oesophagus Cancer","Cancer","Volume -30%","15-29",0.104059837780788,0.0844375273244502,0.124026104682845,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oesophagus Cancer","Cancer","Volume -30%","30-44",1.44449645448142,1.21249153452784,1.67172726786133,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oesophagus Cancer","Cancer","Volume -30%","45-59",15.1757758683205,12.5314634586876,17.5838326905343,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oesophagus Cancer","Cancer","Volume -30%","60-65",12.042358787355,9.23262351855329,14.9733878999423,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oral Cavity and Pharynx Cancer","Cancer","Volume -30%","15-29",0.725200005400195,0.593215495014968,0.858565150313151,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oral Cavity and Pharynx Cancer","Cancer","Volume -30%","30-44",3.79379619375956,3.10586128003073,4.48328591525694,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oral Cavity and Pharynx Cancer","Cancer","Volume -30%","45-59",21.0056980517566,16.9591330627206,24.7948331595378,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oral Cavity and Pharynx Cancer","Cancer","Volume -30%","60-65",11.3117464106975,8.33527545139849,14.3695268706884,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Other Pharyngeal Cancer","Cancer","Volume -30%","15-29",0.392601917169447,0.322365103359985,0.464449723312507,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Other Pharyngeal Cancer","Cancer","Volume -30%","30-44",1.32610484340739,1.05168221773885,1.59864314989191,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Other Pharyngeal Cancer","Cancer","Volume -30%","45-59",8.83126822268495,7.13178609395642,10.3837963192468,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Other Pharyngeal Cancer","Cancer","Volume -30%","60-65",8.06288162579438,5.90841385321521,10.3120003899614,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Pancreatic Cancer","Cancer","Volume -30%","15-29",0.0390894425208989,0.0294307904078295,0.0499281502465317,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Pancreatic Cancer","Cancer","Volume -30%","30-44",0.813401639107696,0.654053813616497,0.988362252484642,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Pancreatic Cancer","Cancer","Volume -30%","45-59",5.96375049749029,4.74820084320117,7.28346528041301,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Pancreatic Cancer","Cancer","Volume -30%","60-65",3.77443881017623,2.89188477682346,4.76747497468738,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Volume -30%","15-29",35.3074345898728,30.068780939626,40.8912404052449,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Volume -30%","30-44",39.8087646062683,33.7732438826975,46.0519872912045,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Volume -30%","45-59",34.5555241296741,28.9083837068953,40.6100538025668,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Volume -30%","60-65",8.91205432197462,7.32002513042679,10.7534906051243,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Stomach Cancer","Cancer","Volume -30%","15-29",0.171206714026382,0.103762254247417,0.248660981876044,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Stomach Cancer","Cancer","Volume -30%","30-44",2.33705487001343,1.42098003168875,3.33053861053386,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Stomach Cancer","Cancer","Volume -30%","45-59",16.2306816409938,10.6389782860585,21.909869790983,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Stomach Cancer","Cancer","Volume -30%","60-65",8.48946079396718,4.44748026653483,13.1814474220859,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Tuberculosis","Other causes","Volume -30%","15-29",4.01372924078031,2.64124711865951,7.12214883614993,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Tuberculosis","Other causes","Volume -30%","30-44",15.2423358025329,10.0913310943575,26.3305826047003,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Tuberculosis","Other causes","Volume -30%","45-59",44.4079681150112,28.0668957460534,82.2756578553817,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Tuberculosis","Other causes","Volume -30%","60-65",13.9408331694272,8.53986975302309,27.1966146662858,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Volume -30%","15-29",16.3831139355592,13.1092497276215,20.023885045011,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Volume -30%","30-44",26.1573642920396,20.7068438003132,32.0184833105109,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Volume -30%","45-59",27.5052870605314,21.7459855314213,33.8372440283044,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Volume -30%","60-65",8.08854839707765,6.32387178604885,10.1458838528809,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -10%: no shift","15-29",93.4868507190504,65.6486867386345,122.090429164448,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -10%: no shift","30-44",108.405030861889,75.9795478908912,140.154906740182,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -10%: no shift","45-59",63.1918863702921,43.4958453113724,84.3530654871907,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -10%: no shift","60-65",11.3787071583886,7.79152478546741,15.8617631529912,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -10%: no shift","15-29",0.723869418879367,0.44615008920496,1.01855985432157,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -10%: no shift","30-44",5.71142649873817,4.34635863619706,7.29787153407409,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -10%: no shift","45-59",21.5100291427322,16.5302127131856,27.9106194309042,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -10%: no shift","60-65",11.1179569295227,8.40301937304094,14.4294182088897,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -10%: no shift","15-29",0.171681761923306,0.112680134326112,0.219800458853942,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -10%: no shift","30-44",0.830102525857592,0.657498678214256,0.984991237162297,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -10%: no shift","45-59",3.33751263604612,2.6486336838432,4.00671320996918,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -10%: no shift","60-65",2.51710076836392,1.95517688941195,3.08771534454525,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -10%: no shift","15-29",102.848555269498,86.3681211188426,118.321817929669,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -10%: no shift","30-44",109.537726720722,91.9867937250929,125.191718414788,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -10%: no shift","45-59",86.6674903336596,71.5385212696987,101.358947108814,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -10%: no shift","60-65",22.0152458285976,17.8548286575962,26.618063236631,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -10%: no shift","15-29",57.8104355061916,46.1443258765769,69.629291378799,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -10%: no shift","30-44",85.8984913753059,68.4351238256966,102.527378013862,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -10%: no shift","45-59",83.0600803306232,65.7174701977237,100.906094801693,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -10%: no shift","60-65",23.4682709899444,18.453537706723,29.2662384921621,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -25%: no shift","15-29",233.717126797626,164.121716846586,305.226072911119,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -25%: no shift","30-44",271.012577154721,189.948869727228,350.387266850456,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -25%: no shift","45-59",157.97971592573,108.739613278431,210.882663717977,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -25%: no shift","60-65",28.4467678959714,19.4788119636685,39.6544078824782,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -25%: no shift","15-29",1.80967354719841,1.11537522301244,2.54639963580393,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -25%: no shift","30-44",14.2785662468455,10.8658965904926,18.2446788351852,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -25%: no shift","45-59",53.7750728568298,41.3255317829644,69.7765485772614,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -25%: no shift","60-65",27.7948923238066,21.0075484326029,36.073545522225,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -25%: no shift","15-29",0.429204404808265,0.281700335815279,0.549501147134856,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -25%: no shift","30-44",2.07525631464399,1.64374669553564,2.46247809290574,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -25%: no shift","45-59",8.34378159011522,6.62158420960798,10.0167830249231,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -25%: no shift","60-65",6.29275192090981,4.88794222352986,7.71928836136325,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -25%: no shift","15-29",257.121388173745,215.920302797107,295.804544824174,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -25%: no shift","30-44",273.844316801804,229.966984312732,312.97929603697,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -25%: no shift","45-59",216.668725834149,178.846303174247,253.397367772034,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -25%: no shift","60-65",55.0381145714942,44.6370716439906,66.5451580915776,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -25%: no shift","15-29",144.526088765479,115.360814691442,174.073228446998,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -25%: no shift","30-44",214.746228438265,171.087809564242,256.318445034655,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -25%: no shift","45-59",207.650200826558,164.293675494309,252.265237004234,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -25%: no shift","60-65",58.6706774748611,46.1338442668072,73.1655962304053,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -50%: no shift","15-29",467.434253595252,328.243433693173,610.452145822238,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -50%: no shift","30-44",542.025154309441,379.897739454456,700.774533700912,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -50%: no shift","45-59",315.95943185146,217.479226556862,421.765327435954,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -50%: no shift","60-65",56.893535791943,38.957623927337,79.3088157649563,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -50%: no shift","15-29",3.61934709439683,2.23075044602487,5.09279927160786,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -50%: no shift","30-44",28.557132493691,21.7317931809853,36.4893576703704,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -50%: no shift","45-59",107.550145713659,82.6510635659298,139.553097154522,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -50%: no shift","60-65",55.5897846476131,42.0150968652061,72.1470910444501,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -50%: no shift","15-29",0.858408809616529,0.56340067163056,1.09900229426971,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -50%: no shift","30-44",4.15051262928798,3.28749339107128,4.92495618581148,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -50%: no shift","45-59",16.6875631802304,13.243168419216,20.0335660498462,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -50%: no shift","60-65",12.5855038418196,9.77588444705967,15.4385767227265,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -50%: no shift","15-29",514.242776347491,431.840605594214,591.609089648348,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
