"Cause","Cause group","Scenario","Age group (years)","Total expected avoidable deaths","Joint lower 95% simulation limit","Joint upper 95% simulation limit","Contributing cells","Interval method"
"Oesophagus Cancer","Cancer","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oesophagus Cancer","Cancer","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oral Cavity and Pharynx Cancer","Cancer","Baseline","15-29",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oral Cavity and Pharynx Cancer","Cancer","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oral Cavity and Pharynx Cancer","Cancer","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oral Cavity and Pharynx Cancer","Cancer","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Other Pharyngeal Cancer","Cancer","Baseline","15-29",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Other Pharyngeal Cancer","Cancer","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Other Pharyngeal Cancer","Cancer","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Other Pharyngeal Cancer","Cancer","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Pancreatic Cancer","Cancer","Baseline","15-29",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Pancreatic Cancer","Cancer","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Pancreatic Cancer","Cancer","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Pancreatic Cancer","Cancer","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Baseline","15-29",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Stomach Cancer","Cancer","Baseline","15-29",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Stomach Cancer","Cancer","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Stomach Cancer","Cancer","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Stomach Cancer","Cancer","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Tuberculosis","Other causes","Baseline","15-29",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Tuberculosis","Other causes","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Tuberculosis","Other causes","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Tuberculosis","Other causes","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Baseline","15-29",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Acute Pancreatitis","Other causes","Volume -10%","15-29",0.871701502464686,0.592714090170826,1.4287470776154,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Acute Pancreatitis","Other causes","Volume -10%","30-44",4.12518289721614,2.93845501049164,6.23951950110119,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Acute Pancreatitis","Other causes","Volume -10%","45-59",7.84009726436599,5.4190827567218,12.2935492288829,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
