Year	disease	sex	age_group	AAF	LL	UL	muertes	att_mort	att_mort_low	att_mort_up
2022	Larynx Cancer	Female	45-59	0,106	0,097	0,114	4	0	0	0
2022	Larynx Cancer	Female	60+	0,098	0,091	0,104	20	2	2	2
2024	Larynx Cancer	Female	15-29	0,1	0,09	0,111	0	0	0	0
2024	Larynx Cancer	Female	30-44	0,117	0,104	0,13	0	0	0	0
2024	Larynx Cancer	Female	45-59	0,101	0,093	0,111	0	0	0	0
2024	Larynx Cancer	Female	60+	0,095	0,089	0,101	21	2	2	2
2012	Larynx Cancer	Male	15-29	0,166	0,133	0,2	0	0	0	0
2012	Larynx Cancer	Male	30-44	0,168	0,137	0,2	1	0	0	0
2012	Larynx Cancer	Male	45-59	0,182	0,149	0,219	25	5	4	5
2012	Larynx Cancer	Male	60+	0,158	0,132	0,187	102	16	13	19
2014	Larynx Cancer	Male	15-29	0,183	0,149	0,219	0	0	0	0
2014	Larynx Cancer	Male	30-44	0,199	0,161	0,238	1	0	0	0
2014	Larynx Cancer	Male	45-59	0,207	0,17	0,246	14	3	2	3
2014	Larynx Cancer	Male	60+	0,177	0,147	0,21	112	20	16	24
2016	Larynx Cancer	Male	15-29	0,173	0,143	0,206	0	0	0	0
2016	Larynx Cancer	Male	30-44	0,172	0,142	0,203	2	0	0	0
2016	Larynx Cancer	Male	45-59	0,18	0,15	0,212	20	4	3	4
2016	Larynx Cancer	Male	60+	0,157	0,135	0,182	86	14	12	16
2018	Larynx Cancer	Male	15-29	0,159	0,132	0,189	0	0	0	0
2018	Larynx Cancer	Male	30-44	0,178	0,146	0,211	2	0	0	0
2018	Larynx Cancer	Male	45-59	0,18	0,149	0,213	20	4	3	4
2018	Larynx Cancer	Male	60+	0,175	0,147	0,204	98	17	14	20
2020	Larynx Cancer	Male	15-29	0,174	0,143	0,206	0	0	0	0
2020	Larynx Cancer	Male	30-44	0,203	0,166	0,242	1	0	0	0
2020	Larynx Cancer	Male	45-59	0,192	0,159	0,228	9	2	1	2
2020	Larynx Cancer	Male	60+	0,184	0,155	0,216	104	19	16	22
2022	Larynx Cancer	Male	15-29	0,154	0,129	0,182	0	0	0	0
2022	Larynx Cancer	Male	30-44	0,194	0,159	0,23	2	0	0	0
2022	Larynx Cancer	Male	45-59	0,183	0,153	0,215	15	3	2	3
2022	Larynx Cancer	Male	60+	0,18	0,152	0,212	113	20	17	24
2024	Larynx Cancer	Male	15-29	0,148	0,125	0,173	0	0	0	0
2024	Larynx Cancer	Male	30-44	0,179	0,148	0,211	1	0	0	0
2024	Larynx Cancer	Male	45-59	0,182	0,151	0,215	10	2	2	2
2024	Larynx Cancer	Male	60+	0,172	0,148	0,2	118	20	17	24
2012	Liver Cancer	Female	15-29	0,362	0,342	0,381	0	0	0	0
2012	Liver Cancer	Female	30-44	0,38	0,36	0,399	10	4	4	4
2012	Liver Cancer	Female	45-59	0,36	0,339	0,379	68	24	23	26
2012	Liver Cancer	Female	60+	0,359	0,339	0,379	447	160	152	169
2014	Liver Cancer	Female	15-29	0,383	0,364	0,402	4	2	1	2
2014	Liver Cancer	Female	30-44	0,389	0,37	0,407	8	3	3	3
2014	Liver Cancer	Female	45-59	0,394	0,375	0,412	60	24	22	25
2014	Liver Cancer	Female	60+	0,374	0,354	0,392	510	191	181	200
2016	Liver Cancer	Female	15-29	0,37	0,35	0,389	1	0	0	0
2016	Liver Cancer	Female	30-44	0,412	0,394	0,429	7	3	3	3
2016	Liver Cancer	Female	45-59	0,416	0,399	0,433	77	32	31	33
2016	Liver Cancer	Female	60+	0,421	0,404	0,438	513	216	207	225
2018	Liver Cancer	Female	15-29	0,388	0,37	0,407	2	1	1	1
2018	Liver Cancer	Female	30-44	0,4	0,382	0,418	7	3	3	3
2018	Liver Cancer	Female	45-59	0,433	0,416	0,449	59	26	25	26
2018	Liver Cancer	Female	60+	0,432	0,415	0,448	528	228	219	237
2020	Liver Cancer	Female	15-29	0,413	0,396	0,43	1	0	0	0
2020	Liver Cancer	Female	30-44	0,407	0,389	0,425	9	4	4	4
2020	Liver Cancer	Female	45-59	0,429	0,412	0,445	68	29	28	30
2020	Liver Cancer	Female	60+	0,449	0,433	0,464	591	265	256	274
2022	Liver Cancer	Female	15-29	0,413	0,395	0,43	1	0	0	0
2022	Liver Cancer	Female	30-44	0,418	0,4	0,435	5	2	2	2
2022	Liver Cancer	Female	45-59	0,439	0,422	0,454	63	28	27	29
2022	Liver Cancer	Female	60+	0,438	0,421	0,454	595	261	250	270
2024	Liver Cancer	Female	15-29	0,387	0,369	0,405	0	0	0	0
2024	Liver Cancer	Female	30-44	0,424	0,407	0,44	5	2	2	2
2024	Liver Cancer	Female	45-59	0,422	0,405	0,439	65	27	26	29
2024	Liver Cancer	Female	60+	0,438	0,421	0,454	686	300	289	311
2012	Liver Cancer	Male	15-29	0,229	0,207	0,249	1	0	0	0
2012	Liver Cancer	Male	30-44	0,263	0,242	0,283	9	2	2	3
2012	Liver Cancer	Male	45-59	0,29	0,269	0,309	114	33	31	35
2012	Liver Cancer	Male	60+	0,309	0,29	0,326	511	158	148	167
2014	Liver Cancer	Male	15-29	0,265	0,244	0,285	1	0	0	0
2014	Liver Cancer	Male	30-44	0,268	0,246	0,289	10	3	2	3
2014	Liver Cancer	Male	45-59	0,317	0,297	0,335	88	28	26	29
2014	Liver Cancer	Male	60+	0,318	0,299	0,335	532	169	159	178
2016	Liver Cancer	Male	15-29	0,276	0,257	0,295	2	1	1	1
2016	Liver Cancer	Male	30-44	0,294	0,275	0,313	10	3	3	3
2016	Liver Cancer	Male	45-59	0,318	0,3	0,336	108	34	32	36
2016	Liver Cancer	Male	60+	0,352	0,336	0,367	569	200	191	209
2018	Liver Cancer	Male	15-29	0,28	0,26	0,299	2	1	1	1
2018	Liver Cancer	Male	30-44	0,283	0,263	0,303	11	3	3	3
2018	Liver Cancer	Male	45-59	0,313	0,294	0,331	94	29	28	31
2018	Liver Cancer	Male	60+	0,349	0,332	0,365	644	225	214	235
2020	Liver Cancer	Male	15-29	0,295	0,275	0,314	2	1	1	1
2020	Liver Cancer	Male	30-44	0,299	0,279	0,319	14	4	4	4
2020	Liver Cancer	Male	45-59	0,32	0,301	0,339	105	34	32	36
2020	Liver Cancer	Male	60+	0,355	0,338	0,371	673	239	227	250
2022	Liver Cancer	Male	15-29	0,303	0,285	0,321	5	2	1	2
2022	Liver Cancer	Male	30-44	0,309	0,29	0,328	12	4	3	4
2022	Liver Cancer	Male	45-59	0,334	0,316	0,351	86	29	27	30
2022	Liver Cancer	Male	60+	0,369	0,353	0,384	674	249	238	259
2024	Liver Cancer	Male	15-29	0,313	0,296	0,331	3	1	1	1
2024	Liver Cancer	Male	30-44	0,313	0,294	0,331	13	4	4	4
2024	Liver Cancer	Male	45-59	0,329	0,311	0,346	111	37	35	38
2024	Liver Cancer	Male	60+	0,382	0,367	0,396	805	308	295	319
2012	Oesophagus Cancer	Female	15-29	0,094	0,089	0,1	0	0	0	0
2012	Oesophagus Cancer	Female	30-44	0,082	0,078	0,085	3	0	0	0
2012	Oesophagus Cancer	Female	45-59	0,075	0,071	0,079	14	1	1	1
2012	Oesophagus Cancer	Female	60+	0,069	0,066	0,073	220	15	15	16
2014	Oesophagus Cancer	Female	15-29	0,108	0,102	0,115	0	0	0	0
2014	Oesophagus Cancer	Female	30-44	0,101	0,096	0,107	2	0	0	0
2014	Oesophagus Cancer	Female	45-59	0,096	0,091	0,1	22	2	2	2
2014	Oesophagus Cancer	Female	60+	0,083	0,079	0,087	250	21	20	22
2016	Oesophagus Cancer	Female	15-29	0,102	0,097	0,108	0	0	0	0
2016	Oesophagus Cancer	Female	30-44	0,097	0,093	0,102	0	0	0	0
2016	Oesophagus Cancer	Female	45-59	0,088	0,085	0,092	17	1	1	2
2016	Oesophagus Cancer	Female	60+	0,084	0,081	0,088	202	17	16	18
2018	Oesophagus Cancer	Female	15-29	0,099	0,094	0,104	0	0	0	0
2018	Oesophagus Cancer	Female	30-44	0,097	0,092	0,101	1	0	0	0
2018	Oesophagus Cancer	Female	45-59	0,091	0,087	0,094	17	2	1	2
2018	Oesophagus Cancer	Female	60+	0,086	0,083	0,089	227	20	19	20
2020	Oesophagus Cancer	Female	15-29	0,112	0,106	0,118	1	0	0	0
2020	Oesophagus Cancer	Female	30-44	0,108	0,103	0,113	0	0	0	0
2020	Oesophagus Cancer	Female	45-59	0,102	0,098	0,106	13	1	1	1
2020	Oesophagus Cancer	Female	60+	0,095	0,092	0,099	211	20	19	21
2022	Oesophagus Cancer	Female	15-29	0,107	0,102	0,113	0	0	0	0
2022	Oesophagus Cancer	Female	30-44	0,106	0,102	0,111	1	0	0	0
2022	Oesophagus Cancer	Female	45-59	0,096	0,092	0,099	11	1	1	1
2022	Oesophagus Cancer	Female	60+	0,088	0,085	0,092	204	18	17	19
2024	Oesophagus Cancer	Female	15-29	0,091	0,086	0,096	0	0	0	0
2024	Oesophagus Cancer	Female	30-44	0,107	0,101	0,112	3	0	0	0
2024	Oesophagus Cancer	Female	45-59	0,092	0,088	0,096	14	1	1	1
2024	Oesophagus Cancer	Female	60+	0,085	0,082	0,089	198	17	16	18
2012	Oesophagus Cancer	Male	15-29	0,156	0,144	0,169	0	0	0	0
2012	Oesophagus Cancer	Male	30-44	0,157	0,146	0,169	5	1	1	1
2012	Oesophagus Cancer	Male	45-59	0,172	0,158	0,187	46	8	7	9
2012	Oesophagus Cancer	Male	60+	0,148	0,137	0,16	345	51	47	55
2014	Oesophagus Cancer	Male	15-29	0,172	0,159	0,187	0	0	0	0
2014	Oesophagus Cancer	Male	30-44	0,188	0,173	0,203	1	0	0	0
2014	Oesophagus Cancer	Male	45-59	0,196	0,181	0,212	39	8	7	8
2014	Oesophagus Cancer	Male	60+	0,166	0,154	0,179	336	56	52	60
2016	Oesophagus Cancer	Male	15-29	0,162	0,15	0,174	1	0	0	0
2016	Oesophagus Cancer	Male	30-44	0,16	0,149	0,171	4	1	1	1
2016	Oesophagus Cancer	Male	45-59	0,169	0,157	0,182	46	8	7	8
2016	Oesophagus Cancer	Male	60+	0,146	0,137	0,155	380	55	52	59
2018	Oesophagus Cancer	Male	15-29	0,148	0,138	0,159	0	0	0	0
