Year	disease	sex	age_group	AAF	LL	UL	muertes	att_mort	att_mort_low	att_mort_up
2020	Oesophagus Cancer	Male	60+	0.16872509154886534	0.010539693650979986	0.33191458583267713	348	59	4	116
2022	Oesophagus Cancer	Female	60+	0.09352125072349532	-0.10661506500280786	0.29662609556531466	204	19	-22	61
2022	Oesophagus Cancer	Male	60+	0.16881643885546652	-0.003107756272331373	0.3448295947404362	332	56	-1	114
2024	Oesophagus Cancer	Female	60+	0.09395446425744157	-0.10912296381759315	0.30268695031978893	198	19	-22	60
2024	Oesophagus Cancer	Male	60+	0.15253160003827798	-0.03540208802863084	0.34168704942722355	317	48	-11	108
2012	Oral Cavity and Pharynx Cancer	Female	60+	0.11030458933292953	-0.07275146799256313	0.32935686066630065	70	8	-5	23
2012	Oral Cavity and Pharynx Cancer	Male	60+	0.24226179482969948	0.09646899456446292	0.41240233794139497	135	33	13	56
2014	Oral Cavity and Pharynx Cancer	Female	60+	0.13999295133154901	-0.0447845579433062	0.35979691267901237	59	8	-3	21
2014	Oral Cavity and Pharynx Cancer	Male	60+	0.30233246834383976	0.1592269884120937	0.4495825839524626	118	36	19	53
2016	Oral Cavity and Pharynx Cancer	Female	60+	0.12243439794784305	-0.12055927691087089	0.37564096967518557	77	9	-9	29
2016	Oral Cavity and Pharynx Cancer	Male	60+	0.22750630121898155	0.0366419968387298	0.43278583361012485	143	33	5	62
2018	Oral Cavity and Pharynx Cancer	Female	60+	0.12190850646013471	-0.1382182067863495	0.3865375232707153	71	9	-10	27
2018	Oral Cavity and Pharynx Cancer	Male	60+	0.22101690236212176	0.03542326327314243	0.42540158213038076	141	31	5	60
2020	Oral Cavity and Pharynx Cancer	Female	60+	0.14461990161653246	-0.11969273592986418	0.4082096481806345	68	10	-8	28
2020	Oral Cavity and Pharynx Cancer	Male	60+	0.28102349189897635	0.10511654820446986	0.4627852365440308	155	44	16	72
2022	Oral Cavity and Pharynx Cancer	Female	60+	0.13374227395975252	-0.11794883204575528	0.39110210287641634	103	14	-12	40
2022	Oral Cavity and Pharynx Cancer	Male	60+	0.2844269468472194	0.09797173691903424	0.47476193470470046	187	53	18	89
2024	Oral Cavity and Pharynx Cancer	Female	60+	0.13840475465674154	-0.11562123826420079	0.400881537334699	111	15	-13	44
2024	Oral Cavity and Pharynx Cancer	Male	60+	0.25273228726314456	0.045008105892178046	0.46406563820782365	170	43	8	79
2012	Pancreatic Cancer	Female	60+	0.12966774336537637	0.08718266462325434	0.1738534249803683	559	72	49	97
2012	Pancreatic Cancer	Male	60+	0.07844358949367726	0.04637116276162264	0.11358941643913377	400	31	19	45
2014	Pancreatic Cancer	Female	60+	0.13885697373951808	0.0936604865434267	0.18644991598659907	598	83	56	111
2014	Pancreatic Cancer	Male	60+	0.08376740480664896	0.050676168126558604	0.1186827428352433	482	40	24	57
2016	Pancreatic Cancer	Female	60+	0.16094446843477808	0.10977972876054051	0.21335699358727794	686	110	75	146
2016	Pancreatic Cancer	Male	60+	0.09126753960816952	0.05217362378857146	0.13159196117394015	527	48	27	69
2018	Pancreatic Cancer	Female	60+	0.1675813658703464	0.11383929535669964	0.22010810177025897	660	111	75	145
2018	Pancreatic Cancer	Male	60+	0.08908776148050561	0.05062628102929817	0.12887832660852525	564	50	29	73
2020	Pancreatic Cancer	Female	60+	0.178344200433121	0.12478971535172965	0.23348764098905692	772	138	96	180
2020	Pancreatic Cancer	Male	60+	0.09470193943659982	0.05575410643700161	0.13378539700900943	575	54	32	77
2022	Pancreatic Cancer	Female	60+	0.1708922469462545	0.11919784792355638	0.22275713058748572	830	142	99	185
2022	Pancreatic Cancer	Male	60+	0.09955771751392045	0.05813404290173164	0.14200022609247717	655	65	38	93
2024	Pancreatic Cancer	Female	60+	0.1699924152195691	0.1163305082544015	0.22373320110494388	922	157	107	206
2024	Pancreatic Cancer	Male	60+	0.10123194552272549	0.05745811974051702	0.14504122630518546	721	73	41	105
2012	Stomach Cancer	Female	60+	0.1272510191737192	0.08444812949679878	0.171767653928344	979	125	83	168
2012	Stomach Cancer	Male	60+	0.07125583484258881	0.03754205935712531	0.10761341463634751	1777	127	67	191
2014	Stomach Cancer	Female	60+	0.1350870541088078	0.08888345789416291	0.1833958657152675	892	120	79	164
2014	Stomach Cancer	Male	60+	0.07661967130277195	0.041233765814013563	0.11342335314457651	1790	137	74	203
2016	Stomach Cancer	Female	60+	0.15802920510144136	0.1067186455839133	0.21085179578116142	902	143	96	190
2016	Stomach Cancer	Male	60+	0.08408247929568798	0.043809935613134746	0.12554707801985507	1754	147	77	220
