Year,disease,sex,age_group,AAF_pipeline,LL_pipeline,UL_pipeline,muertes_pipeline,att_mort_pipeline,att_mort_low_pipeline,att_mort_up_pipeline,AAF_jrt,LL_jrt,UL_jrt,muertes_jrt,att_mort_jrt,att_mort_low_jrt,att_mort_up_jrt,diff_AAF,diff_muertes,diff_att_mort
2024,Colorectal Cancer,Male,45-59,0.3325432791165339,0.29504238763313545,0.37076570473523734,296,98,87,110,0.336,0.319,0.352,296,99,94,104,-0.0034567208834661023,0,-1
2024,Colorectal Cancer,Male,60+,0.380641709390067,0.3378055772009435,0.421735826961127,1657,631,560,699,0.383,0.37,0.397,1657,635,613,658,-0.0023582906099330336,0,-4
2012,Larynx Cancer,Female,15-29,0.1225662138906585,-0.03762047279617162,0.30978231666497336,0,0,-0,0,0.103,0.091,0.117,0,0,0,0,0.019566213890658504,0,0
2012,Larynx Cancer,Female,30-44,0.09760533038030984,-0.0814740782863771,0.3031388447878595,0,0,-0,0,0.09,0.082,0.098,0,0,0,0,0.0076053303803098465,0,0
2012,Larynx Cancer,Female,45-59,0.11291408804790883,-0.04776693169977227,0.2996801827573368,3,0,-0,1,0.083,0.075,0.091,3,0,0,0,0.02991408804790882,0,0
2012,Larynx Cancer,Female,60+,0.08171408745960274,-0.08760682102264285,0.28111438846277914,21,2,-2,6,0.077,0.071,0.083,21,2,1,2,0.0047140874596027366,0,0
2012,Larynx Cancer,Male,15-29,0.1687643181781527,0.07466200414021483,0.28750942203212254,0,0,0,0,0.166,0.133,0.2,0,0,0,0,0.0027643181781527026,0,0
2012,Larynx Cancer,Male,30-44,0.17292576461166864,0.0635722352676253,0.3066852170668432,1,0,0,0,0.168,0.137,0.2,1,0,0,0,0.0049257646116686316,0,0
2012,Larynx Cancer,Male,45-59,0.194820111389374,0.06812884763396171,0.34267120317614486,25,5,2,9,0.182,0.149,0.219,25,5,4,5,0.012820111389374,0,0
2012,Larynx Cancer,Male,60+,0.15183062428889407,0.001901016912732798,0.3280982524343623,102,15,0,33,0.158,0.132,0.187,102,16,13,19,-0.006169375711105929,0,-1
2014,Larynx Cancer,Female,15-29,0.12473843372052834,-0.05056349798803515,0.3157773220625874,0,0,-0,0,0.118,0.103,0.135,0,0,0,0,0.006738433720528347,0,0
