Year	disease	sex	age_group	AAF	LL	UL	muertes	att_mort	att_mort_low	att_mort_up
2024	Breast Cancer	Female	30-44	0.025941859445339735	0.021314624668934416	0.030931118536513362	158	4	3	5
2024	Breast Cancer	Female	45-59	0.01797049290951395	0.014560993826503376	0.021567758366405135	395	7	6	9
2024	Breast Cancer	Female	60+	0.01180843910517179	0.008854176080439688	0.014883614967571904	1283	15	11	19
2012	Colorectal Cancer	Female	15-29	0.04813523138412188	-0.040514571698029446	0.14542417107041355	3	0	-0	0
2012	Colorectal Cancer	Female	30-44	0.035799414159847116	-0.060220285813245934	0.13971854879069825	34	1	-2	5
2012	Colorectal Cancer	Female	45-59	0.042962694620742224	-0.04454595200023889	0.13851986216238302	155	7	-7	21
2012	Colorectal Cancer	Female	60+	0.028506057277806942	-0.06099207844336756	0.1271955370314845	938	27	-57	119
2012	Colorectal Cancer	Male	15-29	0.24533748481363135	0.21355222006078653	0.27784996801055345	3	1	1	1
2012	Colorectal Cancer	Male	30-44	0.27291333025215814	0.2388809318300559	0.30699395964438636	36	10	9	11
2012	Colorectal Cancer	Male	45-59	0.30219605053544557	0.2648265234135257	0.33941827101369915	149	45	39	51
2012	Colorectal Cancer	Male	60+	0.3120747297390572	0.2671274617595409	0.3572040052234952	825	257	220	295
2014	Colorectal Cancer	Female	15-29	0.048861253846313575	-0.04822702172099014	0.1490699018456709	2	0	-0	0
2014	Colorectal Cancer	Female	30-44	0.05163141616320066	-0.04591857355142587	0.15602802362012647	40	2	-2	6
2014	Colorectal Cancer	Female	45-59	0.041253159154460046	-0.05949772618114031	0.1497363310496298	190	8	-11	28
2014	Colorectal Cancer	Female	60+	0.03668170934732753	-0.059202137535833574	0.14151326526804375	1000	37	-59	142
2014	Colorectal Cancer	Male	15-29	0.2832124713955213	0.2474196222410498	0.3185897840188066	9	3	2	3
2014	Colorectal Cancer	Male	30-44	0.2893948194017554	0.2520428272386944	0.3271772004981973	39	11	10	13
2014	Colorectal Cancer	Male	45-59	0.3276848704727767	0.2879977821027816	0.3666413924135695	179	59	52	66
2014	Colorectal Cancer	Male	60+	0.3250224084121395	0.2805404309583992	0.36818161404881916	978	318	274	360
2016	Colorectal Cancer	Female	15-29	0.04618275737707466	-0.04236344662084306	0.1474055722671497	2	0	-0	0
2016	Colorectal Cancer	Female	30-44	0.049933801242535186	-0.05899541024634012	0.16039622743389362	33	2	-2	5
2016	Colorectal Cancer	Female	45-59	0.03542878938746669	-0.0810612467207034	0.1556257620261234	181	6	-15	28
2016	Colorectal Cancer	Female	60+	0.0334363250951664	-0.08446467121015658	0.15436127729523652	1110	37	-94	171
2016	Colorectal Cancer	Male	15-29	0.2872872279696669	0.2524002668405915	0.3218518484424139	8	2	2	3
2016	Colorectal Cancer	Male	30-44	0.3060553724201118	0.2701990398746564	0.34254314854005796	56	17	15	19
2016	Colorectal Cancer	Male	45-59	0.3298688470454907	0.29122735023376295	0.36777200867104587	200	66	58	74
2016	Colorectal Cancer	Male	60+	0.3519145134843906	0.30747884494699695	0.39488781566934605	1004	353	309	396
2018	Colorectal Cancer	Female	15-29	0.040785754625664854	-0.058067080100226806	0.1462346861156578	2	0	-0	0
2018	Colorectal Cancer	Female	30-44	0.03879356617073902	-0.06716312747773429	0.1506894266117114	54	2	-4	8
2018	Colorectal Cancer	Female	45-59	0.033298580881212826	-0.09394183122873362	0.15955930717907527	215	7	-20	34
2018	Colorectal Cancer	Female	60+	0.03302814931074893	-0.09248555010233189	0.1597776096732915	1118	37	-103	179
